Provincia,Partido ,Localidad,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,4G,3G,TELEFONIAFIJA,WIRELESS,SATELITAL,conectividad
CORDOBA,Colón,Barrio Nuevo Río Ceballos,0,0,0,0,0,0,0,0,0,NO
CORDOBA,Colón,Canteras El Sauce,0,0,0,0,0,0,0,0,0,NO
CORDOBA,Río Segundo,Costasacate,0,0,0,1,0,1,1,0,0,SI
CORDOBA,,Laguna Larga,1,0,0,1,1,1,0,1,0,SI
CORDOBA,Río Segundo,Las Junturas,0,0,0,1,0,1,1,0,1,SI
CORDOBA,Río Segundo,Manfredi,0,0,0,1,0,1,1,0,0,SI
CORDOBA,Colón,Colonia Caroya,0,1,0,1,0,1,1,1,0,SI
CORDOBA,Colón,Colonia Vicente Agüero,0,0,0,0,0,0,1,0,0,SI
CORDOBA,,El Diquecito,0,0,0,0,1,0,0,0,0,SI
CORDOBA,,El Manzano,1,0,0,0,1,0,0,0,0,SI
CORDOBA,Colón,Estación Colonia Tirolesa,0,0,0,0,0,0,0,0,0,NO
CORDOBA,,La Granja,1,0,0,1,1,0,0,1,0,SI
CORDOBA,Colón,La Morada,0,0,0,0,0,1,0,0,0,SI
CORDOBA,,Las Corzuelas,0,0,0,0,1,0,0,0,0,SI
CORDOBA,,Los Molles,0,0,0,0,0,0,0,0,1,SI
CORDOBA,Marcos Juárez,Camilo Aldao,0,0,0,0,0,1,1,0,1,SI
CORDOBA,Marcos Juárez,Colonia Veinticinco,0,0,0,0,0,0,0,0,0,NO
CORDOBA,,Cruz Alta,1,0,0,1,1,1,0,1,0,SI
CORDOBA,Juárez Celman,El Rastreador,0,0,0,0,0,0,0,0,0,NO
CORDOBA,,General Cabrera,1,0,0,0,1,1,0,0,0,SI
CORDOBA,Juárez Celman,Huanchillas,0,0,0,1,0,0,1,0,0,SI
CORDOBA,,Pacheco de Melo,0,0,0,0,0,0,0,0,0,NO
CORDOBA,Juárez Celman,Villa Reducción,0,0,0,0,0,1,1,1,0,SI
CORDOBA,,Río Segundo,1,0,0,1,1,1,0,1,0,SI
CORDOBA,Río Segundo,Villa del Rosario,0,1,0,1,0,1,1,1,0,SI
CORDOBA,,El Huayco,1,0,0,0,0,0,0,0,0,SI
CORDOBA,San Alberto,Las Rabonas,0,0,0,1,0,0,0,1,0,SI
CORDOBA,,Idiazabal,0,0,0,1,1,1,0,1,1,SI
CORDOBA,Unión,Justiniano Posse,0,0,0,1,0,0,1,1,0,SI
CORDOBA,Unión,Monte Maíz,0,1,0,1,0,1,1,0,0,SI
CORDOBA,Unión,Ordóñez,0,0,0,1,0,1,1,0,0,SI
CORDOBA,,Pueblo Italiano,0,1,0,0,1,0,0,0,0,SI
CORDOBA,Colón,Mi Granja,0,0,0,1,0,0,1,0,0,SI
CORDOBA,San Alberto,Panaholma,0,0,0,0,0,0,0,0,0,NO
CORDOBA,,San Pedro,0,0,0,1,1,0,0,1,0,SI
CORDOBA,,San Vicente,0,0,0,1,1,0,0,0,0,SI
CABA,COMUNA 07,FLORES,0,1,1,1,0,1,1,1,0,SI
CORDOBA,,Villa Los Patos,0,0,0,0,0,0,0,0,0,NO
ENTRE RIOS,,Gualeguay,1,1,0,0,1,1,0,1,0,SI
ENTRE RIOS,Gualeguay,Puerto Ruiz,0,0,0,0,0,0,1,0,0,SI
